time	well1	fibro_id	time_exact	ocr	ecar	ppr
1	A01	Background	1.307	0	0	0
1	A02	Background	1.307	0	0	0
1	A03	Background	1.307	0	0	0
1	A04	Background	1.307	0	0	0
1	A05	Background	1.307	0	0	0
1	A06	Background	1.307	0	0	0
1	A07	Background	1.307	0	0	0
1	A08	Background	1.307	0	0	0
1	A09	Background	1.307	0	0	0
1	A10	Background	1.307	0	0	0
1	A11	Background	1.307	0	0	0
1	A12	Background	1.307	0	0	0
1	B01	c1 1/2	1.307	177,773.98	91,127.73	162,061.55
1	B02	c1 1/2	1.307	148,308.39	87,944.58	156,400.64
1	B03	c1 1/2	1.307	159,125.77	100,720.92	179,122.08
1	B04	c1 1/2	1.307	189,347.49	137,041.83	243,715.20
1	B05	c1 1/2	1.307	157,984.39	80,525.54	143,206.63
1	B06	c1 1/2	1.307	160,150.88	112,425.17	199,936.92
1	B07	c1 4/5	1.307	142,776.86	58,548.55	104,122.74
1	B08	c1 4/5	1.307	144,466.53	69,517.22	123,629.43
1	B09	c1 4/5	1.307	169,305.19	101,492.57	180,494.38
1	B10	c1 4/5	1.307	156,379.10	104,688.99	186,178.90
1	B11	c1 4/5	1.307	154,367.20	82,131.83	146,063.25
1	B12	c1 4/5	1.307	161,845.30	96,368.46	171,381.68
1	C01	c3 1/2	1.307	145,713.04	61,696.58	109,721.19
1	C02	c3 1/2	1.307	181,231.72	87,638.63	155,856.55
1	C03	c3 1/2	1.307	226,225.59	75,574.74	134,402.13
1	C04	c3 1/2	1.307	204,531.79	124,566.35	221,528.80
1	C05	c3 1/2	1.307	183,082.62	62,967.80	111,981.94
1	C06	c3 1/2	1.307	174,476.48	72,520.31	128,970.11
1	C07	c3 4/5	1.307	192,190.85	43,150.37	76,738.61
1	C08	c3 4/5	1.307	163,100.62	92,987.63	165,369.21
1	C09	c3 4/5	1.307	203,802.33	85,539.14	152,122.80
1	C10	c3 4/5	1.307	201,756.83	84,420.26	150,132.98
1	C11	c3 4/5	1.307	182,552.48	90,118.73	160,267.14
1	C12	c3 4/5	1.307	154,834.26	82,815.48	147,279.06
1	D01	c2 1/2	1.307	149,422.14	55,626.09	98,925.44
1	D02	c2 1/2	1.307	170,635.28	59,950.10	106,615.26
1	D03	c2 1/2	1.307	183,409.12	97,369.51	173,161.93
1	D04	c2 1/2	1.307	177,953.65	60,560.67	107,701.09
1	D05	c2 1/2	1.307	182,144.35	64,172.63	114,124.60
1	D06	c2 1/2	1.307	167,090.29	45,036.52	80,092.94
1	D07	c2 4/5	1.307	165,255.16	24,410.87	43,412.29
1	D08	c2 4/5	1.307	154,520.19	47,746.34	84,912.08
1	D09	c2 4/5	1.307	147,681.60	51,859.83	92,227.51
1	D10	c2 4/5	1.307	160,483.09	49,119.46	87,354.06
1	D11	c2 4/5	1.307	158,565.98	44,481.06	79,105.11
1	D12	c2 4/5	1.307	128,463.01	48,960.17	87,070.78
1	E01	p6.II.1 1/2	1.307	92,276.88	72,876.50	129,603.57
1	E02	p6.II.1 1/2	1.307	111,551.29	66,603.26	118,447.23
1	E03	p6.II.1 1/2	1.307	118,945.78	50,992.74	90,685.49
1	E04	p6.II.1 1/2	1.307	111,481.17	62,669.99	111,452.31
1	E05	p6.II.1 1/2	1.307	112,883.04	67,035.92	119,216.67
1	E06	p6.II.1 1/2	1.307	107,166.40	57,931.76	103,025.85
1	E07	p6.II.1 4/5	1.307	100,525.92	52,007.75	92,490.59
1	E08	p6.II.1 4/5	1.307	110,897.45	63,693.10	113,271.82
1	E09	p6.II.1 4/5	1.307	105,670.67	67,573.18	120,172.14
1	E10	p6.II.1 4/5	1.307	112,402.77	80,995.84	144,043.00
1	E11	p6.II.1 4/5	1.307	116,396.13	101,916.24	181,247.84
1	E12	p6.II.1 4/5	1.307	84,705.80	84,226.45	149,788.31
1	F01	p6.I.2 1/2	1.307	43,142.94	80,596.97	143,333.64
1	F02	p6.I.2 1/2	1.307	51,707.76	69,862.22	124,242.97
1	F03	p6.I.2 1/2	1.307	47,647.62	74,848.32	133,110.26
1	F04	p6.I.2 1/2	1.307	48,804.05	64,031.86	113,874.27
1	F05	p6.I.2 1/2	1.307	52,145.75	78,326.43	139,295.73
1	F06	p6.I.2 1/2	1.307	52,191.34	63,128.65	112,268.00
1	F07	p6.I.2 4/5	1.307	50,984.94	69,189.47	123,046.55
1	F08	p6.I.2 4/5	1.307	51,555.40	55,257.08	98,269.20
1	F09	p6.I.2 4/5	1.307	50,983.39	61,418.58	109,226.80
1	F10	p6.I.2 4/5	1.307	52,464.93	70,806.14	125,921.65
1	F11	p6.I.2 4/5	1.307	48,086.62	67,691.42	120,382.42
1	F12	p6.I.2 4/5	1.307	38,772.84	66,998.82	119,150.71
1	H01	Background	1.307	0	0	0
1	H02	Background	1.307	0	0	0
1	H03	Background	1.307	0	0	0
1	H04	Background	1.307	0	0	0
1	H05	Background	1.307	0	0	0
1	H06	Background	1.307	0	0	0
1	H07	Background	1.307	0	0	0
1	H08	Background	1.307	0	0	0
1	H09	Background	1.307	0	0	0
1	H10	Background	1.307	0	0	0
1	H11	Background	1.307	0	0	0
1	H12	Background	1.307	0	0	0
2	A01	Background	7.77	0	0	0
