time	well1	fibro_id	time_exact	ocr	ecar	ppr
1	A01	Background	1.308	0	0	0
1	A02	Background	1.308	0	0	0
1	A03	Background	1.308	0	0	0
1	A04	Background	1.308	0	0	0
1	A05	Background	1.308	0	0	0
1	A06	Background	1.308	0	0	0
1	A07	Background	1.308	0	0	0
1	A08	Background	1.308	0	0	0
1	A09	Background	1.308	0	0	0
1	A10	Background	1.308	0	0	0
1	A11	Background	1.308	0	0	0
1	A12	Background	1.308	0	0	0
1	B01	c1 3/4	1.308	130,394.82	60,720.03	107,984.50
1	B02	c1 3/4	1.308	134,784.12	59,719.93	106,205.93
1	B03	c1 3/4	1.308	129,728.60	61,927.64	110,132.11
1	B04	c1 3/4	1.308	129,189.74	59,095.15	105,094.82
1	B05	c1 3/4	1.308	117,773.82	57,004.35	101,376.54
1	B06	c1 3/4	1.308	77,349.56	81,847.72	145,557.99
1	B07	c1 5/6	1.308	127,452.67	61,187.24	108,815.38
1	B08	c1 5/6	1.308	132,314.31	66,228.85	117,781.38
1	B09	c1 5/6	1.308	126,333.23	62,618.21	111,360.22
1	B10	c1 5/6	1.308	132,072.31	62,549.54	111,238.10
1	B11	c1 5/6	1.308	62,080.11	86,430.19	153,707.44
1	B12	c1 5/6	1.308	114,057.75	58,466.69	103,977.16
1	C01	c3 3/4	1.308	108,660.94	60,620.91	107,808.23
1	C02	c3 3/4	1.308	144,628.57	93,764.73	166,751.19
1	C03	c3 3/4	1.308	91,307.38	149,462.04	265,803.28
1	C04	c3 3/4	1.308	161,205.96	81,022.38	144,090.20
1	C05	c3 3/4	1.308	152,831.10	91,816.64	163,286.71
1	C06	c3 3/4	1.308	93,297.01	126,408.22	224,804.38
1	C07	c3 5/6	1.308	106,408.67	121,461.53	216,007.19
1	C08	c3 5/6	1.308	84,453.40	135,672.78	241,280.47
1	C09	c3 5/6	1.308	100,403.74	143,056.31	254,411.34
1	C10	c3 5/6	1.308	123,925.62	116,236.47	206,714.94
1	C11	c3 5/6	1.308	52,384.41	129,415.88	230,153.20
1	C12	c3 5/6	1.308	89,270.31	74,594.34	132,658.57
1	D01	c2 3/4	1.308	88,980.58	59,608.12	106,007.08
1	D02	c2 3/4	1.308	141,518.63	70,166.12	124,783.44
1	D03	c2 3/4	1.308	142,390.13	71,040.10	126,337.72
1	D04	c2 3/4	1.308	164,520.85	108,631.94	193,191.05
1	D05	c2 3/4	1.308	171,621.25	85,385.84	151,850.17
1	D06	c2 3/4	1.308	160,289.11	90,425.76	160,813.17
1	D07	c2 5/6	1.308	144,799.08	82,198.71	146,182.19
1	D08	c2 5/6	1.308	161,336.84	76,706.46	136,414.77
1	D09	c2 5/6	1.308	143,679.79	70,592.69	125,542.04
1	D10	c2 5/6	1.308	141,601.66	67,355.49	119,785.00
1	D11	c2 5/6	1.308	140,775.06	50,189.30	89,256.64
1	D12	c2 5/6	1.308	94,070.60	46,433.85	82,577.95
1	E01	p3.I.2 3/4	1.308	111,616.53	77,762.25	138,292.39
1	E02	p3.I.2 3/4	1.308	124,123.09	106,467.26	189,341.37
1	E03	p3.I.2 3/4	1.308	132,630.02	132,604.03	235,823.00
1	E04	p3.I.2 3/4	1.308	137,795.50	142,183.25	252,858.70
1	E05	p3.I.2 3/4	1.308	136,867.88	113,363.22	201,605.15
1	E06	p3.I.2 3/4	1.308	131,686.29	87,251.91	155,168.80
1	E07	p3.I.2 5/6	1.308	109,020.16	70,245.18	124,924.03
1	E08	p3.I.2 5/6	1.308	112,147.36	98,391.91	174,980.17
1	E09	p3.I.2 5/6	1.308	118,665.28	92,334.90	164,208.39
1	E10	p3.I.2 5/6	1.308	108,001.36	79,522.22	141,422.32
1	E11	p3.I.2 5/6	1.308	112,126.55	84,563.28	150,387.33
1	E12	p3.I.2 5/6	1.308	97,425.34	83,014.34	147,632.69
1	F01	p3.II.2 3/4	1.308	36,794.56	73,283.48	130,327.34
1	F02	p3.II.2 3/4	1.308	99,734.65	127,646.23	227,006.05
1	F03	p3.II.2 3/4	1.308	143,157.30	135,508.16	240,987.71
1	F04	p3.II.2 3/4	1.308	151,370.34	102,654.62	182,560.98
1	F05	p3.II.2 3/4	1.308	108,576.75	111,062.74	197,513.97
1	F06	p3.II.2 3/4	1.308	132,268.65	116,311.51	206,848.38
1	F07	p3.II.2 5/6	1.308	58,889.33	86,337.26	153,542.18
1	F08	p3.II.2 5/6	1.308	69,500.53	98,524.07	175,215.20
1	F09	p3.II.2 5/6	1.308	53,713.21	102,822.31	182,859.20
1	F10	p3.II.2 5/6	1.308	109,179.89	149,002.07	264,985.28
1	F11	p3.II.2 5/6	1.308	46,756.63	80,273.77	142,758.87
1	F12	p3.II.2 5/6	1.308	34,117.45	79,007.85	140,507.56
1	G01	p3.III.1 3/4	1.308	101,128.40	65,210.15	115,969.73
1	G02	p3.III.1 3/4	1.308	93,634.02	53,696.91	95,494.58
1	G03	p3.III.1 3/4	1.308	74,460.21	106,261.24	188,974.98
1	G04	p3.III.1 3/4	1.308	130,379.48	91,131.64	162,068.51
1	G05	p3.III.1 3/4	1.308	99,596.31	102,396.36	182,101.68
1	G06	p3.III.1 3/4	1.308	121,996.24	67,328.85	119,737.62
1	G07	p3.III.1 5/6	1.308	125,961.40	63,535.54	112,991.60
1	G08	p3.III.1 5/6	1.308	123,621.28	74,130.78	131,834.18
1	G09	p3.III.1 5/6	1.308	128,293.22	82,737.25	147,139.93
1	G10	p3.III.1 5/6	1.308	146,966.07	69,660.30	123,883.87
1	G11	p3.III.1 5/6	1.308	105,385.07	56,291.27	100,108.40
1	G12	p3.III.1 5/6	1.308	99,014.33	59,396.12	105,630.07
1	H01	Background	1.308	0	0	0
1	H02	Background	1.308	0	0	0
1	H03	Background	1.308	0	0	0
1	H04	Background	1.308	0	0	0
1	H05	Background	1.308	0	0	0
1	H06	Background	1.308	0	0	0
1	H07	Background	1.308	0	0	0
1	H08	Background	1.308	0	0	0
1	H09	Background	1.308	0	0	0
1	H10	Background	1.308	0	0	0
1	H11	Background	1.308	0	0	0
1	H12	Background	1.308	0	0	0
2	A01	Background	7.822	0	0	0
2	A02	Background	7.822	0	0	0
2	A03	Background	7.822	0	0	0
2	A04	Background	7.822	0	0	0
2	A05	Background	7.822	0	0	0
2	A06	Background	7.822	0	0	0
2	A07	Background	7.822	0	0	0
2	A08	Background	7.822	0	0	0
2	A09	Background	7.822	0	0	0
2	A10	Background	7.822	0	0	0
2	A11	Background	7.822	0	0	0
2	A12	Background	7.822	0	0	0
2	B01	c1 3/4	7.822	124,145.47	55,691.37	99,041.53
2	B02	c1 3/4	7.822	132,327.24	55,399.41	98,522.31
2	B03	c1 3/4	7.822	122,989.77	63,246.97	112,478.41
2	B04	c1 3/4	7.822	120,911.30	54,876.65	97,592.63
2	B05	c1 3/4	7.822	114,967.28	52,556.40	93,466.30
2	B06	c1 3/4	7.822	58,307.15	76,714.09	136,428.33
2	B07	c1 5/6	7.822	123,575.65	54,558.98	97,027.70
2	B08	c1 5/6	7.822	120,998.85	62,820.74	111,720.40
2	B09	c1 5/6	7.822	115,624.16	61,229.93	108,891.31
2	B10	c1 5/6	7.822	129,903.83	59,113.34	105,127.16
2	B11	c1 5/6	7.822	49,947.75	80,309.05	142,821.61
2	B12	c1 5/6	7.822	108,797.02	52,511.38	93,386.24
2	C01	c3 3/4	7.822	108,293.17	42,444.80	75,483.83
2	C02	c3 3/4	7.822	138,427.98	89,181.79	158,600.90
2	C03	c3 3/4	7.822	59,836.28	122,468.65	217,798.25
2	C04	c3 3/4	7.822	144,439.53	83,196.39	147,956.46
2	C05	c3 3/4	7.822	138,790.52	93,031.24	165,446.76
2	C06	c3 3/4	7.822	57,100.91	108,125.95	192,291.19
2	C07	c3 5/6	7.822	69,861.91	119,171.94	211,935.37
2	C08	c3 5/6	7.822	56,234.05	118,735.75	211,159.67
