time	well1	fibro_id	time_exact	ocr	ecar	ppr
1	A01	Background	1.30962	0	0	0
1	A02	Background	1.30962	0	0	0
1	A03	Background	1.30962	0	0	0
1	A04	Background	1.30962	0	0	0
1	A05	Background	1.30962	0	0	0
1	A06	Background	1.30962	0	0	0
1	A07	Background	1.30962	0	0	0
1	A08	Background	1.30962	0	0	0
1	A09	Background	1.30962	0	0	0
1	A10	Background	1.30962	0	0	0
1	A11	Background	1.30962	0	0	0
1	A12	Background	1.30962	0	0	0
1	B01	c1 3/4	1.30962	174,003.34	95,797.20	170,365.73
1	B02	c1 3/4	1.30962	205,389.76	107,831.47	191,767.49
1	B03	c1 3/4	1.30962	414,555.91	141,658.53	251,925.53
1	B04	c1 3/4	1.30962	359,963.25	157,968.16	280,930.58
1	B05	c1 3/4	1.30962	476,488.58	176,605.41	314,075.06
1	B06	c1 3/4	1.30962	456,400.47	202,768.44	360,603.39
1	B07	c1 5/6	1.30962	312,883.73	148,914.09	264,828.81
1	B08	c1 5/6	1.30962	338,799.69	175,083.02	311,367.64
1	B09	c1 5/6	1.30962	214,300.45	106,483.06	189,369.47
1	B10	c1 5/6	1.30962	197,947.98	127,473.14	226,698.24
1	B11	c1 5/6	1.30962	180,159.74	104,732.35	186,256.01
1	B12	c1 5/6	1.30962	150,557.72	88,101.17	156,679.12
1	C01	c3 3/4	1.30962	87,622.54	28,556.79	50,785.39
1	C02	c3 3/4	1.30962	114,202.43	44,320.03	78,818.75
1	C03	c3 3/4	1.30962	125,492.89	56,255.59	100,044.94
1	C04	c3 3/4	1.30962	128,870.51	56,130.06	99,821.69
1	C05	c3 3/4	1.30962	128,959.89	60,365.14	107,353.37
1	C06	c3 3/4	1.30962	131,564.75	49,518.17	88,063.12
1	C07	c3 5/6	1.30962	133,076.45	55,681.28	99,023.60
1	C08	c3 5/6	1.30962	126,011.12	60,505.39	107,602.78
1	C09	c3 5/6	1.30962	124,155.84	38,309.92	68,130.36
1	C10	c3 5/6	1.30962	117,794.59	36,079.54	64,163.86
1	C11	c3 5/6	1.30962	113,469.45	36,214.60	64,404.04
1	C12	c3 5/6	1.30962	65,405.90	15,983.19	28,424.50
1	D01	c2 3/4	1.30962	70,152.80	34,698.90	61,708.52
1	D02	c2 3/4	1.30962	110,715.57	38,577.58	68,606.36
1	D03	c2 3/4	1.30962	129,551.80	65,770.21	116,965.75
1	D04	c2 3/4	1.30962	122,146.17	54,748.37	97,364.51
1	D05	c2 3/4	1.30962	132,369.67	73,238.32	130,247.03
1	D06	c2 3/4	1.30962	117,867.15	62,450.06	111,061.18
1	D07	c2 5/6	1.30962	131,118.63	65,069.82	115,720.17
1	D08	c2 5/6	1.30962	118,470.21	45,329.40	80,613.81
1	D09	c2 5/6	1.30962	120,461.34	43,573.59	77,491.27
1	D10	c2 5/6	1.30962	112,899.80	37,355.40	66,432.85
1	D11	c2 5/6	1.30962	99,147.58	41,297.21	73,442.97
1	D12	c2 5/6	1.30962	71,210.97	28,195.84	50,143.48
1	E01	p11.II.1 3/4	1.30962	74,805.34	71,849.68	127,777.47
1	E02	p11.II.1 3/4	1.30962	106,292.89	108,008.60	192,082.49
1	E03	p11.II.1 3/4	1.30962	111,893.70	94,093.53	167,335.93
1	E04	p11.II.1 3/4	1.30962	70,780.89	51,436.16	91,474.08
1	E05	p11.II.1 3/4	1.30962	111,368.05	72,513.98	128,958.87
1	E06	p11.II.1 3/4	1.30962	110,252.19	96,302.47	171,264.32
1	E07	p11.II.1 5/6	1.30962	100,827.40	109,001.04	193,847.44
1	E08	p11.II.1 5/6	1.30962	105,050.99	81,825.89	145,519.17
1	E09	p11.II.1 5/6	1.30962	92,507.53	80,456.97	143,084.67
1	E10	p11.II.1 5/6	1.30962	95,336.96	92,535.41	164,564.97
1	E11	p11.II.1 5/6	1.30962	80,627.49	82,569.99	146,842.47
1	E12	p11.II.1 5/6	1.30962	71,577.19	74,009.46	131,618.42
1	F01	p4.I.2 3/4	1.30962	52,160.91	25,956.13	46,160.39
1	F02	p4.I.2 3/4	1.30962	64,245.26	23,181.52	41,226.02
1	F03	p4.I.2 3/4	1.30962	60,456.71	29,495.38	52,454.59
1	F04	p4.I.2 3/4	1.30962	56,871.76	33,722.10	59,971.38
1	F05	p4.I.2 3/4	1.30962	66,913.16	22,605.00	40,200.73
1	F06	p4.I.2 3/4	1.30962	66,498.13	31,675.29	56,331.34
1	F07	p4.I.2 5/6	1.30962	64,060.48	25,649.47	45,615.02
1	F08	p4.I.2 5/6	1.30962	63,299.42	25,549.86	45,437.87
1	F09	p4.I.2 5/6	1.30962	56,911.18	15,985.36	28,428.36
1	F10	p4.I.2 5/6	1.30962	54,698.14	16,627.11	29,569.65
1	F11	p4.I.2 5/6	1.30962	45,987.83	25,460.68	45,279.27
1	F12	p4.I.2 5/6	1.30962	47,203.02	29,967.94	53,294.99
1	G01	p4.II.2 3/4	1.30962	41,305.05	21,570.38	38,360.76
1	G02	p4.II.2 3/4	1.30962	67,677.77	20,139.69	35,816.42
1	G03	p4.II.2 3/4	1.30962	73,492.79	40,507.78	72,039.03
1	G04	p4.II.2 3/4	1.30962	68,318.34	24,374.01	43,346.75
1	G05	p4.II.2 3/4	1.30962	66,287.99	31,629.47	56,249.85
1	G06	p4.II.2 3/4	1.30962	62,224.45	23,382.42	41,583.30
1	G07	p4.II.2 5/6	1.30962	56,486.48	25,674.72	45,659.92
1	G08	p4.II.2 5/6	1.30962	67,799.66	36,423.30	64,775.19
1	G09	p4.II.2 5/6	1.30962	58,156.00	15,584.96	27,716.29
1	G10	p4.II.2 5/6	1.30962	66,875.17	12,963.59	23,054.45
1	G11	p4.II.2 5/6	1.30962	31,773.24	9,230.93	16,416.29
1	G12	p4.II.2 5/6	1.30962	50,908.01	26,571.36	47,254.51
1	H01	Background	1.30962	0	0	0
1	H02	Background	1.30962	0	0	0
1	H03	Background	1.30962	0	0	0
1	H04	Background	1.30962	0	0	0
1	H05	Background	1.30962	0	0	0
1	H06	Background	1.30962	0	0	0
1	H07	Background	1.30962	0	0	0
1	H08	Background	1.30962	0	0	0
1	H09	Background	1.30962	0	0	0
1	H10	Background	1.30962	0	0	0
1	H11	Background	1.30962	0	0	0
1	H12	Background	1.30962	0	0	0
2	A01	Background	7.81743	0	0	0
2	A02	Background	7.81743	0	0	0
2	A03	Background	7.81743	0	0	0
2	A04	Background	7.81743	0	0	0
2	A05	Background	7.81743	0	0	0
2	A06	Background	7.81743	0	0	0
2	A07	Background	7.81743	0	0	0
2	A08	Background	7.81743	0	0	0
2	A09	Background	7.81743	0	0	0
2	A10	Background	7.81743	0	0	0
2	A11	Background	7.81743	0	0	0
2	A12	Background	7.81743	0	0	0
2	B01	c1 3/4	7.81743	168,393.69	82,606.51	146,907.41
2	B02	c1 3/4	7.81743	194,717.95	82,947.77	147,514.31
2	B03	c1 3/4	7.81743	373,504.32	137,551.99	244,622.46
2	B04	c1 3/4	7.81743	326,138.73	172,133.83	306,122.80
2	B05	c1 3/4	7.81743	436,438.81	168,288.85	299,284.89
2	B06	c1 3/4	7.81743	424,006.23	194,918.90	346,643.78
2	B07	c1 5/6	7.81743	295,722.84	135,976.33	241,820.30
2	B08	c1 5/6	7.81743	312,426.31	176,194.73	313,344.72
2	B09	c1 5/6	7.81743	197,456.38	114,047.34	202,821.79
2	B10	c1 5/6	7.81743	177,084.06	106,627.82	189,626.91
2	B11	c1 5/6	7.81743	157,331.35	86,354.39	153,572.64
2	B12	c1 5/6	7.81743	139,751.60	53,273.06	94,740.82
2	C01	c3 3/4	7.81743	83,670.23	28,424.48	50,550.10
2	C02	c3 3/4	7.81743	105,003.43	28,581.05	50,828.54
2	C03	c3 3/4	7.81743	118,827.38	35,917.65	63,875.96
2	C04	c3 3/4	7.81743	120,041.52	41,069.93	73,038.76
2	C05	c3 3/4	7.81743	120,757.14	41,821.86	74,375.99
2	C06	c3 3/4	7.81743	122,003.13	38,061.41	67,688.42
2	C07	c3 5/6	7.81743	124,131.05	41,582.43	73,950.19
2	C08	c3 5/6	7.81743	116,211.18	28,817.71	51,249.42
2	C09	c3 5/6	7.81743	118,211.00	28,485.34	50,658.33
2	C10	c3 5/6	7.81743	104,347.01	25,876.66	46,019.04
2	C11	c3 5/6	7.81743	104,068.48	18,317.62	32,576.06
2	C12	c3 5/6	7.81743	58,937.57	10,134.20	18,022.66
2	D01	c2 3/4	7.81743	66,888.53	35,565.12	63,249.01
2	D02	c2 3/4	7.81743	102,545.97	35,088.56	62,401.49
